Ісус	Иисус
Азія	Азия
Акіянія	Океания
Алах	Аллах
Альбіён	Альбион
Альпы	Альпы
Амерыка	Америка
Амерыканка	американка
Амэрыка	см. Амерыка
Амэрыканка	см. Амерыканка
Ангельшчына	Англия
Англія	Англия
Андора	Андорра
Анды	Анды
Антанта	Антанта
Антыхрыст	Антихрист
Апалон	Аполлон
Апалён	см. Апалон
Аргентына	Аргентина
Аркадзь	Аркадий
Аркадзія	Аркадия
Арктыка	Арктика
Армагедон	Армагеддон
Арменія	Армения
Армэнія	см. Арменія
Арэапаг	Ареопаг
Асетыя	Осетия
Астанкіна	Останкино
Асэтыя	см. Асетыя
Атлантыда	Атлантида
Атлантыка	Атлантика
Атлянтыда	см. Атлантыда
Атлянтыка	см. Атлантыка
Афганістан	Афганистан
Афрыка	Африка
Аўкштота	Аукштота
Баба-Яга	Баба-Яга
Бабілён	см. Вавілон
Багародзіца	Богородица
Багемія	Богемия
Балканы	Балканы
Балтыка	Балтика
Балтыя	Балтия
Башкірыя	Башкирия
Баўгарыя	Болгария
Белавежа	Беловежье
Беларусь	Беларусь
Беларутэнія	Белорутения
Бенілюкс	Бенилюкс
Берасце	Брест, Берестье
Берасцейшчына	Брестчина, Берестейщина
Берасьце	см. Берасце
Берасьцейшчына	см. Берасцейшчына
Берлін	Берлин
Боснія	Босния
Босьнія	см. Боснія
Бразылія	см. Бразілія
Бразілія	Бразилия
Брусель	Брюссель
Брусэль	см. Брусель
Брытанія	Британия
Брэмен	Бремен
Брэмэн	см. Брэмен
Брэтань	Бретань
Буг	Буг
Будапешт	Будапешт
Будапэшт	см. Будапешт
Буэнас-Айрэс	Буэнос-Айрес
Бэнілюкс	см. Бенілюкс
Бэрлін	см. Берлін
Бэтлеем	Вифлеем
Біблія	Библия
Бірма	Бирма
ВКЛ	ВКЛ
ВНУ	ВУЗ
Вавілон	Вавилон
Валія	Валлия
Варшава	Варшава
Ваўкавыск	Волковыск
Вена	Вена
Венера	Венера
Волга	Волга
Вольга	Ольга
Восіп	Осип, Иосиф
Вугоршчына	Венгрия
Вэнэра	см. Венера
Вяліж	Велиж
Вялікабрытанія	Великобритания
