-like	sؤپn<br><br>
24 hours open	إ،abؤپneruzi<br><br>
6.24 km	farsang; farsax<br><br>
a	yek<br><br>
a bit	yekzarre<br><br>
a bracelet	dastband<br><br>
a counting unit	lؤپ<br><br>
a cup of coffee	yek fenjؤپn qahve<br><br>
a cup of tea	yek fenjؤپn cؤپy<br><br>
a deposit	tahneإ،ini<br><br>
a fearless	mohؤپbؤپ<br><br>
a few	candtؤپ yi<br><br>
a few hundred years old	candsadsؤپle<br><br>
a few times	cand bؤپr<br><br>
a la mode	bؤپb<br><br>
a little	kam-i; qadr-i; yek kam; yekkam; yekmeqdؤپr<br><br>
a little while	andakzamؤپn-i<br><br>
a long time ago	dirbؤپz<br><br>
a lot	xeyl-i ziyؤپd<br><br>
a newspaper	ruznؤپmeforuإ،i<br><br>
a plurality	takassor<br><br>
a preacher	panddehande<br><br>
a priori	piإ،in<br><br>
a quarter	yek rob'<br><br>
a review	bؤپzneة،ari<br><br>
a total of	majmuan<br><br>
a tour	tur<br><br>
a valid	mo'tabar<br><br>
a.m.	qablazzohr<br><br>
ab-	yodؤپyi<br><br>
abacus	cotke<br><br>
abadi	ؤپbؤپdi<br><br>
abaft	poإ،t<br><br>
abandon	bixiyؤپli; del kandan; rahؤپ kardan; rahؤپsؤپzi; tabâ€™id kardan; tark goftan; taslim إ،odan; vؤپgozؤپr kardan; vؤپة،ozؤپri<br><br>
abandoned	matruk; matruke; vؤپة،ozؤپإ،te<br><br>
abandonment	rahؤپsؤپzi; tark<br><br>
abase	post kardan<br><br>
abased	sarafkande<br><br>
abasement	xؤپri; xeffat<br><br>
abash	dastpؤپceâ€Œ kardan<br><br>
abashment	sarafkandeة،i; إ¾ulideة،i<br><br>
abate	foru neإ،astan; forukeإ، kardan; taxfif dؤپdan; xord kardan; xord إ،odan<br><br>
abatement	jelogiri; jelowgiri; jolowgiri<br><br>
abattoir	koإ،tؤپrة،ؤپh<br><br>
abbey	kelisؤپ; sowmee; xؤپnqؤپh<br><br>
abbreviate	moxtasar kardan<br><br>
abbreviation	extesؤپr; moxaffaf; neإ،ؤپne-ye extesؤپri; talxis<br><br>
abc	alefbؤپ<br><br>
abdicate	este'fؤپ dؤپdan; kenؤپregiri kardan; tafviz kardan<br><br>
abdication	este'fؤپ; kanؤپregiri; kenؤپregiri<br><br>
abdomen	إ،ekam<br><br>
abdominal pain	deldard; إ،ekamdard<br><br>
abduct	ؤپdamrobؤپyi kardan; dozdidan; dur kardan; robudan; serqat kardan<br><br>
abduction	ؤپdamrobؤپyi; robؤپyeإ،<br><br>
abecedarian	mabؤپdi; mobtadi<br><br>
aberrant	birؤپh; nؤپbejؤپ<br><br>
aberration	enherؤپf; ة،omrؤپhi; zalؤپlat<br><br>
abet	tarbiyat kardan; taإ،viq kardan<br><br>
abetment	taإ،viq<br><br>
abeyance	ta'liq<br><br>
abf	borumand<br><br>
abhor	tanaffor dؤپإ،tan; tarsidan<br><br>
abhorrence	enzejؤپr; tanaffor<br><br>
abhorrent	bimnؤپk; nؤپsؤپzة،ؤپr; nefratangiz<br><br>
abidance	istؤپdeة،i<br><br>
abide	istؤپdan; istؤپdegi kardan; montazer إ،odan; sؤپken إ،odan; tؤپb ؤپvardan<br><br>
abigail	nadime<br><br>
ability	estetؤپat; sarreإ،te; tavؤپnؤپyi<br><br>
ability to read and write	savؤپd<br><br>
abject	sarafkande; xafif; xasis<br><br>
abjection	xؤپri; zellat<br><br>
abjuration	ahdإ،ekani<br><br>
ablation	farsؤپyeإ،<br><br>
ablaze	barafruxte<br><br>
able	ؤپmؤپde; ؤپmؤپde budan; bؤپeste'dؤپd; lؤپyeq; mostaedd; qؤپder; salؤپhiyatdؤپr; tavؤپnؤپ; tavؤپnestan; tavؤپneste<br><br>
abluent	إ،osteإ،udehande<br><br>
ablution	qosl; إ،ostoإ،u; vozu<br><br>
ably	bexradؤپne<br><br>
abnegate	monker إ،odan<br><br>
abnormal	nؤپbehanjؤپr; nؤپhanjؤپr; qeyreؤپddi; qeyreؤپdi; qeyretabi'i<br><br>
abnormalcy	nؤپhanjؤپri<br><br>
aboard	sarneإ،in; savؤپr إ،odan<br><br>
abode	manzel<br><br>
abolish	az miyؤپn bordan; bar andؤپxtan; mansux kardan; mowquf kardan<br><br>
abolished	baroftؤپde<br><br>
abolition	mahv<br><br>
abominable	makruh; nؤپpasand<br><br>
abomination	kerؤپhat; nefrat; palidi; zeإ،ti<br><br>
abominations	xabؤپes<br><br>
abort	aqim mؤپndan; seqt-e janin; seqtejanin<br><br>
aborted	sؤپqetإ،ode<br><br>
abortion	kurtؤپإ¾; seqt; seqt-e janin; seqtejanin<br><br>
abortive	aqim; masqat<br><br>
about	dar atrؤپf-e; dar bؤپre-ye; dar hodud-e; dar mowred-e; dar sadad-e; dowrtؤپdowr; hodud; hodud e; hodudan; nazd; nazdik; pirؤپmun; rؤپje'; rؤپje' be; taqriban<br><br>
about it	darinbؤپre<br><br>
above	bؤپlؤپ(-ye); bؤپlؤپtar; bartar; dar bؤپlؤپ; farؤپz; fowq; mؤپfowq; nؤپmborde; qesmat-e bؤپlؤپ<br><br>
above all	piإ، az hameciz; piإ، az harciz<br><br>
aboveboard	pustkande<br><br>
abovementioned	yؤپdإ،ode<br><br>
abovestairs	tabaqeâ€Œ-ye bؤپlؤپ<br><br>
abracadabra	verd<br><br>
abrade	hak kardan<br><br>
abrasion	sؤپyeإ،; sؤپyideة،i; xarؤپإ،<br><br>
abrasive	sؤپyande; suzeإ،ؤپvar; tarؤپإ،ande<br><br>
abridge	kutؤپh kardan; moxtasar kardan; xolؤپse kardan<br><br>
abridgment	kutؤپhi<br><br>
abroad	vasi'; xؤپrej; xؤپrejazkeإ،var<br><br>
abrogate	az miyؤپn bordan; laqv kardan; mansux kardan<br><br>
abrogating	nؤپsex<br><br>
