a'dād	numbers; pl of adad
a'lā	supreme; topmost; super; nobby; superfine
a'māl	actions; pl of amal
a'māl-e šāqqe	hard labor; peonage
a'māq	depths; pl of omq
a'qāb	posterity; lineage; breed
a'sāb	nerves; nervation; pl of asab
a'sābxordkon	asabkhrdkn; nerve-racking
a'sār	ages
a'tākonande	donor
a'yād	feasts; pl of eyd
a'yāni	aristocratic
a'yānnešin	ayannshyn
a'zam	major; famous
a'zā	member; pl of ozv
a'šār	decimal
a'šāri	decimal; mantissa
aam	including
ab'ād	dimension; girth
ab'ādi	dimensional
abad	eternity; perpetuity; lifetime; ay
abadan	not at all; no; never; nothing; whatsoever
abadi	eternal; everlasting; permanent; immortal
abadiyat	eternity; immortality; infinity
abarqodrat	superpower
abarrāyāne	super computer
abarsetāre	superstar
abaršahr	metropolis
abas	vain
ablah	doodle; smallpox; fool; foolish; stupid; idiot
ablahi	idiocy; fatuity; folly
ablahāne	foolish; idiotic; stupid
abr	cloud; nebula; brume; super-; sponge
abri	cloudy
abrišam	silk
abrišambāf	silk
abrišami	silky; silken; sericeous; silk
abru	eyebrows; honor; brow; eyebrow
abuqorāze	crate
abus	grim
abyāt	lines; pl of beyt
abzār	tool; gadget; instrumentation; instrument; implement; utensil
abzārālāt	tools
abā	cloak
adab	courtesy; politeness; literature
adab (ādāb)	decency; courtesy; custom
adab kardan	punish
adab negah dāštan	behave
adabi	literary
adabiyāt	literature
adabiyāt-e elmi-taxayyoli	science fiction
adad	number
adad (a'dād)	piece; number
adad-e fard	odd number
adad-e zowj	even number
adam	lack; absence; loss; deficiency; shortage; naught; want
adam-e movaffaqiyat	failure; fail
adam-e tavāfoq	disagreement; disharmony; discordance; disparity; discord; odds
adam-e vābastegi	independence
adas	lentil
adasi	lens; lentil dish
adl	justice; bale; equity; fairness; package
adviye	spice; spices; seasoning
adviye zadan	spice
adyān	pl of din
adā	gesture
adā darāvardan	imitate
adā kardan	utter; acquit; discourse; enounce; execute; express; pay
adā nemudan	acquit
aemme	imams
af'i	viper
af'āl	actions; pl of fe'l
afkandan	throw; cast; shed; droop; fling; give
afkande	cast
afkār	thoughts; breast; pl of fekr
afkār-e omumi	public opinion
afkārsanji	polling
Afqān	Afghan; Afghani
Afqānestān	Afghanistan
Afqāni	Afghan; Afghani
afruxtan	fire
afruxte	het
afruxtegi	incandescence
afruz	firebug
afruzande	ignitor
afrād	individuals; privates; partition; pl of fard
afrāxtan	throwing
afrāštan	fly; elevate; erect; rear; unfurl
afrāšte	mast
afsar	officer; jemadar; praetor
afsordan	deject
afsorde	depressed; pensive; gloomy
afsordegi	depression; dumps; doldrums; dejection; gloom; melancholia; freeze
afsun	charm; spell; fascination; enchantment; glamor; incantation
afsun kardan	bewitch; charm; enchant; fascinate; voodoo; witch
afsungari	voodoo; fairy; witching; grace; incantation; cantation
afsunšode	enchanted; spellbound
afsungar	charmer; mermaid; enchanter
afsungari	witchcraft; voodoo; fairy
afsus	alas; alas!; ah!; regret; pity; remorse; ah
afsus xordan	regret; bemoan; rue; sigh
afsāne	fiction; legend; myth; fable; fairy tale
afsānei	legendary; fabulous; fictional; incredible; fictive
afsānepardāz	myth
afsānepardāzi	myth
afsāneāmiz	mythical
afsār	tether; bridle; halter
afsār bastan	leash
afsār kardan	halter; rein; tackle; tether; picket
afsār-e sag-o heyvānāt-e mošābeh	leash
afsārgosixte	libertine
afsārgosixtegi	rampancy; libertinage; self-abandonment
afv	forgiveness; amnesty
afv kardan	forgive; amnesty
afv-e omumi	amnesty
afyun	opium; fix; hop
afzudan	add; increase; enhance; augment; append; eke
afzudan (afzā(y))	add; increase
afzude	additional; adjunct; intercalary
afzudegi	inset
afzun bar in	also; in addition to; additionally
afzunbarin	furthermore
afzune	redundant
afzunxāh	over-demanding
afzunxāhi	over-demanding
afzār	software; tool; gear
afzāyande	additive; augmentative; multiplier; augmentor
afzāyeš	increase; gain; increment; increscent; addition; growth; enhancement; increasing
afzāyeš-e dastmozd	pay raise; wage increase
afzāyeš-e jam'iyat	population growth
afzāyeš-e nāgahāni	jump
afzāyeš-e qeymat	price rise; increase in price
afzāyešdehande	multiplier
afzāyeši	additive
afzāyešyāfte	increased
afšān	spray
afšānande	nozzle
afšāndan	spray; scatter; exude; interspersion; besprinkle; bestrew; diffuse; pour; shed
afšānde	sprayed; besprent; diffuse
afšāne	spray
Afšāriyān	Afsharian
agar	if
agarce	although; though; however; albeit
ahammiyat	importance; matter; significance; emphasis; magnitude; dimension; gravity; stress
ahammiyat dādan	emphasize; accent; accentuate; greaten
ahammiyat dāštan	matter; concern; import
ahd	covenant; era; promise; age; vow; treaty; swear; time; epoch
ahd kardan	engage; guarantee; oath; pledge; promise; swear; give one's word
ahd-o misāq	bond
ahdnāme	treaty
ahdāf	goals; pl of hadaf
ahdšekani	abjuration
ahkām	pl of hokm
ahl	from; inhabitant; inmate
ahl (ahāli)	inmate; inhabitant
ahl-e Engelis	British
ahl-e hume-ye šahr	suburban
ahl-e mahal	vicinage; neighbor; neighbouring
ahl-e mahalle	parish
ahl-e mašreqzamin	Oriental
ahl-e modārā	tolerant
ahl-e Munix	from Munich
ahlefan	expert; well-informed
ahlefan(n)	technician
ahli	tame; domestic; native
ahliyat	qualification; population
ahloayāl	family
ahmaq	stupid; foolish
ahmaqāne	silly
Ahriman	Demon; Evil Spirit; Daemon
ahrimani	devilish; diabolical; diabolic
ahrom	lever; crowbar; pry
ahrām	pl of heram
Ahurāmazdā	Ahouramazda
ahurāyi	god's
ahvāl	pl of hāl
ahvālporsi	greetings
ahzāb	pl of hezb
ahāli	residents; pl of ahl
ahšā	gut; viscus
ajab	strange; surprising; astonishing; wonder; surprise; astonishment
ajale	hurry; haste
ajale dāštan	hurry
ajale kardan	hurry; hurry up; haste
ajall	death
ajdād	great grandparents; ancestors; grandfathers; predecessors; forebears; progenitors; lineage; pl of jad(d)
ajenne	goblins; pl of Jen(n)
ajib	strange; astounding; odd; wonderful; extravagant; astonishing
ajiboqarib	weird; exotic; peculiar
ajir	hireling
ajiršode	hired
ajnabi	foreign; barbarian; strange; stranger; foreigner
ajnās	products; ware; pl of jens
ajnās-e atiqe	antiques
ajr	reward; wage; remuneration; award; defrayal; punishment
ajr dādan	reward
ajrām	bodies
ajsād	bodies; pl of jasad
ajsām	bodies; pl of jesm
ajul	hasty; rash; hurried; precipitous; fast; hasteful
ajulāne	hastily; hurriedly
ajuze	hag
ajz	inability; incapacity; impotence; entreaty; weakness; cry; disability
ajzā	components; personnel; pl of joz'[v]
ajāneb	foreign
akid	strict
akidan	strictly
akidan mamnu'	strictly prohibited
akkās	photographer
akkāsi	photography; photo studio
akkāsi kardan	photograph
akkāsxāne	photographers studio
aknun	present; now
aks	photo; photograph; picture; shot
aks andāxtan	photograph
aks gereftan	photograph
aks gereftan (gir)	take photos; photograph
aks-e cāpi	print
aks-e dastejam'i	group picture
aks-e fowri gereftan	snap
aks-e gozarnāme	passport photograph
aks-e rangi	color photo
aks-e siyāhosefid	black and white photo
aksar	most
aksar(-e)	most
aksaran	most; mostly; often
aksariyat	majority; bulk; feck
aksariyat-e motlaq	absolute majority; vast majority
aksbardāri kardan	photo; photograph; shoot
aksbargardān	decal; decalcomania
aksolamal	reaction
akāber	adult
al'ān	now
alaf	grass; herb
alaf-e harze	brush; weed
alaf-e xošk	hay
alafzār	meadow
alak	sieve; sifter; bolter
alak kardan	sift; sieve; bunt; garble; screen
alakixoš	alkykhvsh
alalxosus	particularly; especially
alam	chagrin; banner; flag; ensign; sign
alanan	publicly
alanan ezhār dāštan	proclaim
alani	open; obvious
alangu	bangle; bracelet; wristband
albase	clothing
albate	however; of course!
albatte	of course
Alborz	Alborz
albāqi	rest
alefbā	alphabet; abc
alefbā-ye fārsi	Persian alphabet
alefbāyi	alphabetic; alphabetical
aleyh(-e)	against; anti-
aleyh-e kas-i ezhār-i kardan	denounce
alfāz	weasel
alil	invalid
alkol	alcohol; spirit of wine
alkoli	alcoholic; lush
Allāh	Allah; God
allākolang	seesaw
allākolang	flip-flop; swing
almosannā	replica; double; reduplicate
almās	diamond; bort
almās-e biforuq	carbon
alqāb	titles
altāf	pl of lotf
alvār	timber; lumber; planking
alvāt	scoundrels; hellbender
alvāti	debauch
Alyazāyer	Algeria
alyazāyeri	Algerian
alyāf	yarn
al'ān	now
alāem	pl of alāmat
alāem-e bimāri	disease symptoms
alāem-e maraz	symptom
alāem-e mošaxxase-ye maraz	syndrome
alāhedde	separate; separated
alāmat	sign; mark; signal; symptom; indication; emblem; tick
alāmat (alāem)	sign; mark; signal
alāmat dādan	signal
alāmat-e zarbdar	cross sign
alāmatdār	marked; signed; symbolic
alān	at present
alāqe	interest; concern; fondness; sympathy; penchant; tie
alāqe (alāyeq)	interest
alāqe dāštan	being interested; fancy
alāqemand	enthusiastic; interested
alāqemandi	interest
alāraqm(-e)	despite; contrary to
alāraqm-e	nevertheless
alāraqm-e in	despite this
alāve	plus
alāve bar	in addition
alāve bar in	moreover
alāvebarin	furthermore
alāyeq	pl of alāqe
algoritm	algorithm
am	am; me; my
amal	operation; act; action
amal (a'māl)	act; action; experiment; exploit; function; issue; jest; latitude; operation; ploy; praxis; work
amal gereftan	catch
amal kardan	act; operate; do; function; work; execute; exercise; exercitation; step up
