			
12	Привет!	سلام	Salām
18	Пожалуйста.	لطفآ.	Lotfan.
18	Пожалуйста!	لطفآ.	Lotfan.
22	Я смеялся.	می‌خندیدم.	Mi‌xandidam.
22	Я тут.	من اينجا هستم.	Man injā hastam.
23	Сколько яблок?	چند سیب؟	Cand sib?
24	Добрый день.	صبح بخیر.	Sobh bexeyr.
24	Добрый день.	روز به خير.	Ruz be xeyr.
24	Я здесь.	من اينجا هستم.	Man injā hastam.
25	Я посмеялся.	خنده کردم.	Xande kardam.
26	Идёт дождь.	باران می بارد.	Bārān mi‌bārad.
26	Идет дождь.	باران می بارد.	Bārān mi‌bārad.
29	Он ест яблоко.	او سیب می خورد.	U sib mi‌xorad.
29	Я студент.	من دانشجو هستم.	Man dānešju hastam.
29	Я очень устала.	خیلی خسته‌ام	Xeyli xaste-am
30	Кто не понял?	کیست که نفهمید؟	Kist ke nafahmid?
31	Я студент.	من دانش آموز هستم.	Man dānešāmuz hastam.
31	Весна наступает.	بهار می رسد.	Bahār mi‌resad.
31	Я весьма утомлён.	خیلی خسته‌ام	Xeyli xaste-am
32	Время перекусить!	وقت خوردنه!	Vaqt-e xurdane!
32	Кому непонятно?	کیست که نفهمید؟	Kist ke nafahmid?
33	Я знаю тебя.	من تو را می شناسم.	Man to rā mi‌šenāsam.
33	Завтра выходной.	فردا تعطيل است.	Fardā ta’til-ast.
33	Я тебя знаю.	من تو را می شناسم.	Man to rā mi‌šenāsam.
33	Я мама Тома.	من مادر تام هستم.	Man mādar tām hastam.
33	Я мать Тома.	من مادر تام هستم.	Man mādar tām hastam.
34	Увидимся завтра.	فردا می بينمت.	Fardā mi‌binam-at.
34	Прошло сорок лет.	چهل سال گذشت.	Cehel sāl gozašt.
35	Я не хотел этого.	من این را نخواستم	Man in rā naxāstam
35	Он что-то пишет.	او چیزی می نویسد.	U ciz-i mi‌nevisad.
36	Я написал письмо.	به من نامه نوشت.	Be man nāme nevešt.
36	Я его учитель.	من معلمش هستم.	Man moallem-aš hastam.
36	Какой ты хочешь?	کدامیک را می خواهی؟	Kodāmyek rā mi‌xāhi?
37	Где ты был вчера?	تو دیروز کجا بودی؟	To diruz kojā bud-i?
37	Где ты вчера был?	تو دیروز کجا بودی؟	To diruz kojā bud-i?
38	Где ты была вчера?	تو دیروز کجا بودی؟	To diruz kojā bud-i?
38	Это ваш карандаш?	این مداد مال شما ست؟	In medād māl šomā-st?
38	Они верят этому.	این را باور میکنند.	In rā bāvar mi‌konand.
38	Завтра выходной день.	فردا تعطيل است.	Fardā ta’til-ast.
38	Рождество в пути.	کریسمس در راه است.	Kerismas dar rāh-ast.
38	Который ты хочешь?	کدامیک را می خواهی؟	Kodāmyek rā mi‌xāhi?
39	Всему своё время.	هر چیز به وقت خویش.	Har ciz be vaqt-e xiš.
40	На безрыбье и рак рыба.	کاچی به از هیچی.	Kāci be az hicci.
40	Я обожаю кошек.	من عاشق گربه ها هستم.	Man āšeq gorbe‌hā hastam.
40	Она ничего не читает.	او چیزی نمی خواند.	U ciz-i nemi‌xānad.
41	Я люблю свою мать.	مادرم را دوست دارم.	Mādar-am rā dust dāram.
41	Он стоит за дверью.	او پشت در ایستاده است.	U pošt dar istāde-ast.
41	Я знаю фарси.	من زبان فارسی می دونم.	Man zabān-e fārsi mey donam.
42	Я забыл его имя.	نام او را فراموش کردم.	Nām-e u rā farāmuš kardam.
42	Мир сошел с ума?	آیا دنیا دیوانه شده است؟	Āyā donyā divāne šode-ast?
43	Я забыла его имя.	نام او را فراموش کردم.	Nām-e u rā farāmuš kardam.
